,continent,location,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,hospital_beds_per_thousand,life_expectancy,human_development_index
137,South America,Paraguay,64156.0,425.0,651.714,1429.0,11.0,17.143,8994.845,59.586000000000006,91.37200000000001,200.35,1.5419999999999998,62.04,7132530.0,17.144000000000002,26.5,6.377999999999999,3.833,8827.01,1.7,199.128,8.27,1.3,74.25,0.7020000000000001
138,Asia,Palestine,66551.0,749.0,643.571,565.0,4.0,6.7139999999999995,13045.594,146.822,126.155,110.75399999999999,0.784,40.74,5101416.0,778.202,20.4,3.043,1.726,4449.898,1.0,265.91,10.59,,74.05,0.6859999999999999
139,Asia,Qatar,132917.0,197.0,212.143,232.0,0.0,0.28600000000000003,46134.755999999994,68.378,73.634,80.52600000000001,0.0,64.81,2881060.0,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,1.2,80.23,0.856
140,Europe,Romania,250704.0,4041.0,5458.857,7153.0,86.0,97.571,13031.923,210.05599999999998,283.759,371.82199999999995,4.47,54.63,19237682.0,85.12899999999999,43.0,17.85,11.69,23313.199,5.7,370.94599999999997,9.74,6.892,76.05,0.8109999999999999
141,Europe,Russia,1655038.0,18257.0,17687.714,28473.0,238.0,314.857,11340.968,125.104,121.20299999999999,195.108,1.631,44.91,145934460.0,8.823,39.6,14.177999999999999,9.392999999999999,24765.953999999998,0.1,431.29699999999997,6.18,8.05,72.58,0.816
142,Africa,Rwanda,5155.0,9.0,11.714,35.0,0.0,0.14300000000000002,398.00199999999995,0.695,0.904,2.702,0.0,69.44,12952209.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,,69.02,0.524
143,Asia,Saudi Arabia,348037.0,381.0,400.714,5437.0,35.0,17.714000000000002,9997.08,10.944,11.51,156.173,1.005,,34813867.0,15.322000000000001,31.9,3.295,1.845,49045.41099999999,,259.538,17.72,2.7,75.13,0.853
144,Africa,Sudan,13819.0,0.0,10.286,837.0,0.0,0.0,315.14799999999997,0.0,0.235,19.088,0.0,32.41,43849269.0,23.258000000000003,19.7,3.548,2.0340000000000003,4466.5070000000005,,431.38800000000003,15.67,0.8,65.31,0.502
145,Africa,Senegal,15637.0,7.0,10.286,325.0,0.0,0.429,933.8910000000001,0.418,0.614,19.41,0.0,37.96,16743930.0,82.32799999999999,18.7,3.008,1.796,2470.58,38.0,241.21900000000002,2.42,,67.94,0.505
146,Asia,Singapore,58020.0,1.0,6.7139999999999995,28.0,0.0,0.0,9917.367,0.171,1.148,4.7860000000000005,0.0,52.78,5850343.0,7915.731,42.4,12.922,7.0489999999999995,85535.383,,92.243,10.99,2.4,83.62,0.932
147,Oceania,Solomon Islands,8.0,0.0,0.5710000000000001,,0.0,0.0,11.647,0.0,0.8320000000000001,,0.0,43.52,686878.0,21.840999999999998,20.8,3.5069999999999997,2.043,2205.923,25.1,459.78,18.68,1.4,73.0,0.546
148,Africa,Sierra Leone,2366.0,0.0,2.8569999999999998,74.0,0.0,0.0,296.603,0.0,0.358,9.277000000000001,0.0,31.48,7976985.0,104.7,19.1,2.5380000000000003,1.285,1390.3,52.2,325.721,2.42,,54.7,0.419
149,North America,El Salvador,34015.0,0.0,155.714,987.0,4.0,4.857,5244.21,0.0,24.006999999999998,152.16899999999998,0.617,52.78,6486201.0,307.811,27.6,8.273,5.417000000000001,7292.4580000000005,2.2,167.295,8.87,1.3,73.32,0.674
